StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,female,age,educ,party,party_4_TEXT,interest_politics,interest_voted_2020,interest_news,attention_news,pre_pos_nuc,pre_pos_ss,pre_pos_health,pre_pos_cap,pre_pos_tax,pre_pos_teach,pre_underst_nuc,pre_underst_ss,pre_underst_health,pre_underst_cap,pre_underst_tax,pre_underst_teach,reasons_text_health,post_underst_health,post_pos_health,reasons_text_ss,post_underst_ss,post_pos_ss,reasons_text_nuc,post_underst_nuc,post_pos_nuc,reasons_text_teach,post_underst_teach,post_pos_teach,reasons_text_cap,post_underst_cap,post_pos_cap,reasons_text_tax,post_underst_tax,post_pos_tax,expl_text_health,post_underst_health,post_pos_health,expl_text_ss,post_underst_ss,post_pos_ss,expl_text_nuc,post_underst_nuc,post_pos_nuc,expl_text_teach,post_underst_teach,post_pos_teach,expl_text_cap,post_underst_cap,post_pos_cap,expl_text_tax,post_underst_tax,post_pos_tax,issue_ideology_nuc,issue_ideology_ss,issue_ideology_health,issue_ideology_cap,issue_ideology_tax,issue_ideology_teach,attention_ideology,attention_birth_year,mturk_id,MTurkCode,condition_expl
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Gender,Age,What is the highest level of education you have attained?,Political affiliation - Selected Choice,Political affiliation - Other (Please Specify) - Text,"How interested are you in politics, compared to other people?",Did you vote in the 2020 United States presidential election (Biden vs. Trump)?,"How often do you read or listen to the news from newspapers (online or print), magazines, TV news, or radio news?","When a big news story breaks people often go online to get up-to-the-minute details on what is going on.
We want to know which websites people trust to get this information. We also want to know if people are
paying attention to the question. To show that you’ve read this much, please ignore the question and
select ABC News website and The Drudge Report as your two answers.

When there is a big news story, which is the one news website you would visit first? (Please only choose
one)",Please state your position for each of the following political issues. - Imposing unilateral sanctions on Iran for its nuclear program,Please state your position for each of the following political issues. - Raising the retirement age for Social Security,Please state your position for each of the following political issues. - Transitioning to a single-payer health care system,Please state your position for each of the following political issues. - Establishing a cap-and-trade system for carbon emissions,Please state your position for each of the following political issues. - Instituting a national flat tax,Please state your position for each of the following political issues. - Implementing merit-based pay for teachers,Please indicate your level of understanding for each of the following political issues. - Imposing unilateral sanctions on Iran for its nuclear program,Please indicate your level of understanding for each of the following political issues. - Raising the retirement age for Social Security,Please indicate your level of understanding for each of the following political issues. - Transitioning to a single-payer health care system,Please indicate your level of understanding for each of the following political issues. - Establishing a cap-and-trade system for carbon emissions,Please indicate your level of understanding for each of the following political issues. - Instituting a national flat tax,Please indicate your level of understanding for each of the following political issues. - Implementing merit-based pay for teachers,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the first one. Please write down all the reasons you have for your position on transitioning to a single-payer health care system, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding on transitioning to a single-payer health care system.,Please state your position on transitioning to a single-payer health care system.,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the second one. Please write down all the reasons you have for your position on raising the retirement age for Social Security, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding on raising the retirement age for Social Security.,Please state your position on raising the retirement age for Social Security.,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the first one. Please write down all the reasons you have for your position on imposing unilateral sanctions on Iran for its nuclear program, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding on imposing unilateral sanctions on Iran for its nuclear program.,Please state your position on imposing unilateral sanctions on Iran for its nuclear program.,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the second one. Please write down all the reasons you have for your position on implementing merit-based pay for teachers, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding on implementing merit-based pay for teachers.,Please state your position on implementing merit-based pay for teachers.,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the first one. Please write down all the reasons you have for your position on instituting a 'cap and trade' system for carbon emissions, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding of instituting a 'cap and trade' system for carbon emissions.,Please state your position on instituting a 'cap and trade' system for carbon emissions.,"Now we'd like to understand a little more deeply why you hold the positions you do for two of the political issues. This is the second one. Please write down all the reasons you have for your position on instituting a national flat tax, going from the most important to the least. That is, you should state precisely why you hold the position. Try to tell as complete a story as you can about the reasons for your position. Please take your time, as we expect you to carefully state your reasons.",Please rate your level of understanding of instituting a national flat tax.,Please state your position on instituting a national flat tax.,"Now, we'd like to probe your knowledge in a little more detail on two of the political issues. This is the first one. Please describe all the details you know about transitioning to a single-payer health care system, going from the first step to the last, and providing the causal connection between the steps. That is, your explanation should state precisely how each step causes the next step in one continuous chain from start to finish. In other words, try to tell as complete a story as you can, with no gaps. Please take your time, as we expect your best explanation.",Please rate your level of understanding on transitioning to a single-payer health care system.,Please state your position on transitioning to a single-payer health care system.,"Now, we'd like to probe your knowledge in a little more detail on two of the political issues. This is the second one. Please describe all the details you know about raising the retirement age for Social security, going from the first step to the last, and providing the causal connection between the steps. That is, your explanation should state precisely how each step causes the next step in one continuous chain from start to finish. In other words, try to tell as complete a story as you can, with no gaps. Please take your time, as we expect your best explanation.",Please rate your level of understanding on raising the retirement age for Social Security.,Please state your position on raising the retirement age for Social Security.,"Now, we'd like to probe your knowledge in a little more detail on two of the political issues. T",Please rate your level of understanding on imposing unilateral sanctions on Iran for its nuclear program.,Please state your position on imposing unilateral sanctions on Iran for its nuclear program.,"Now, we'd like to probe your knowledge in a little more detail on two of the political issues. This is the second one. Please describe all the details you know about implementing merit-based pay for teachers, going from the first step to the last, and providing the causal connection between the steps. That is, your explanation should state precisely how each step causes the next step in one continuous chain from start to finish. In other words, try to tell as complete a story as you can, with no gaps. Please take your time, as we expect your best explanation.",Please rate your level of understanding on implementing merit-based pay for teachers.,Please state your position on implementing merit-based pay for teachers.,"Now, we'd like to probe yourknowledge in a little more detail on two of the political issues. This",Please rate your level of understanding of instituting a 'cap and trade' system for carbon emissions.,Please state your position on instituting a 'cap and trade' system for carbon emissions.,"Now, we'd like to probe your knowledge in a little more detail on two of the political issues. This is the second one. Please describe all the details you know about the impact of instituting a national flat tax, going from the first step to the last, and providing the causal connection between the steps. That is, your explanation should state precisely how each step causes the next step in one continuous chain from start to finish. In other words, try to tell as complete a story as you can, with no gaps. Please take your time, as we expect your best explanation.",Please rate your level of understanding of instituting a national flat tax.,Please state your position on instituting a national flat tax.,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Imposing unilateral sanctions on Iran for its nuclear program,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Raising the retirement age for Social Security,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Transitioning to a single-payer health care system,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Establishing a cap-and-trade system for carbon emissions,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Instituting a national flat tax,Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Implementing merit-based pay for teachers,"Please indicate to what extent to which you see each issue position below as either a liberal or conservative position - Please select ""Somewhat Liberal"" to show that you are paying attention",What is your year of birth?,Please enter your MTURK ID,MTurkCode,condition_expl
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94""}","{""ImportId"":""QID98""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID55_5""}","{""ImportId"":""QID55_6""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID65""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID56""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID59""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID69""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID46""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID67""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID68""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID91_4""}","{""ImportId"":""QID91_5""}","{""ImportId"":""QID91_6""}","{""ImportId"":""QID91_7""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""condition_expl""}"
2024-08-14 06:29:45,2024-08-14 06:29:46,Survey Test,,100,1,True,2024-08-14 06:29:46,R_eVylKDfoJrRIt4G,,,,,,,test,,Female,Facilisis dignissim ultrices a. Ipsum vitae culpa praesent nec aliquam justo eros vel.,"a.Some high school, no diploma",b.Republican,,Far more than average,e.Don't remember,Less than once per week,"New York Times website,Huffington Post,Washington Post website,FoxNews.com,The Drudge Report,Google News,ABC News website,CBS News website,NBC News website,Yahoo! News,The Associated Press (AP) website,Reuters website,National Public Radio (NPR) website,USA Today website",Strongly in favor,Somewhat against,In favor,Strongly against,Somewhat against,Somewhat in favor,6,3,5,1 - Vague understanding,1 - Vague understanding,6,,,,,,,"Praesent ligula pede mauris sapien. Curabitur urna, et nibh eros duis! Nunc fermentum vulputate.",2,Somewhat in favor,"Ridiculus nibh vestibulum neque arcu tellus rhoncus aliquet tellus quam, nibh aenean integer.",Vague understanding,Somewhat against,,,,,,,,,,,,,,,,,,,,,,,,,Neither Liberal Nor Conservative,Conservative,Neither Liberal Nor Conservative,Very Conservative,Liberal,Very Liberal,Very Conservative,836455411,Eget eros vehicula. Fusce scelerisque. Morbi vel nulla accusamus. Consequat.,,0
2024-08-14 06:29:49,2024-08-14 06:29:49,Survey Test,,100,0,True,2024-08-14 06:29:49,R_8201Q5LVDg03jRs,,,,,,,test,,Female,Fermentum tortor non. Tellus potenti ac luctus porttitor luctus donec etiam a.,f.Master's degree,c.Independent,,Average,c.Yes,More than 3 times per week,Google News,In favor,Strongly in favor,Strongly in favor,Against,Strongly against,Somewhat in favor,3,3,2,7 - Thorough understanding,5,1 - Vague understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aenean mattis morbi! Ante nullam culpa, etiam. Vivamus platea magnis nunc sit venenatis.",7 - Thorough understanding,Strongly against,"Vehicula, malesuada fermentum a faucibus facilisi at vestibulum mattis risus dictumst magna dictumst convallis. Wisi.",Thorough understanding,Neither in favor nor against,Very Liberal,Liberal,Very Liberal,Very Conservative,Very Liberal,Conservative,Neither Liberal Nor Conservative,1285695648,Ipsum! Accumsan neque tellus! Quis dapibus eros. Augue ipsum sit nullam mattis dui. Justo vehicula.,,1
2024-08-14 06:29:49,2024-08-14 06:29:50,Survey Test,,100,1,True,2024-08-14 06:29:50,R_81zMyDtKJorKbMq,,,,,,,test,,Female,"Wisi. Tincidunt malesuada posuere? Quis. Est, commodo tempor sem phasellus. Eu primis? Elementum.",e.Bachelor's degree,c.Independent,,Somewhat less than average,e.Don't remember,Less than once per week,"Washington Post website,NBC News website,Yahoo! News,National Public Radio (NPR) website",Somewhat against,Strongly against,Somewhat against,In favor,Neither in favor nor against,Somewhat against,3,2,2,2,5,2,Dolor in pellentesque ultrices. Cursus magnis vivamus consectetuer fusce tempora metus ab laoreet.,7 - Thorough understanding,Somewhat Against,Interdum magnis sapien nonummy erat vivamus nonummy. Tempora tempor gravida tortor sagittis! Eros purus. Natoque.,5,Strongly in favor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conservative,Conservative,Very Conservative,Very Liberal,Somewhat Liberal,Liberal,Liberal,48650573,"Nonummy tellus arcu ridiculus duis? Elementum. Erat massa, erat temporibus ultrices montes.",,0
2024-08-14 06:29:50,2024-08-14 06:29:51,Survey Test,,100,1,True,2024-08-14 06:29:51,R_doJFRWv4XVOd2cu,,,,,,,test,,Male,Nec viverra? Egestas at vivamus a sem fringilla ridiculus rutrum potenti sem.,f.Master's degree,b.Republican,,Far more than average,c.Yes,1-3 times per week,"New York Times website,Google News",Strongly against,Somewhat in favor,Strongly against,Neither in favor nor against,In favor,Strongly in favor,7 - Thorough understanding,6,2,7 - Thorough understanding,4,6,,,,,,,,,,,,,"Nec nullam vitae erat. Dolor a lorem malesuada fringilla accusamus, lectus metus gravida, suscipit.",5,Against,Erat accusamus amet cursus fermentum tortor pellentesque euismod primis mi urna venenatis.,7 - Thorough understanding,Against,,,,,,,,,,,,,,,,,,,Neither Liberal Nor Conservative,Very Conservative,Neither Liberal Nor Conservative,Conservative,Very Conservative,Somewhat Liberal,Very Conservative,1761686587,Metus vel etiam dolor sapien diam? Dui id imperdiet laoreet justo.,,0
2024-08-14 06:29:51,2024-08-14 06:29:52,Survey Test,,100,1,True,2024-08-14 06:29:52,R_73dh4biEVLAgMiG,,,,,,,test,,Male,"Nibh lacus vulputate. Consequat. Et culpa diam. Per augue atque vehicula vel, nulla ultricies culpa.","a.Some high school, no diploma",c.Independent,,Somewhat more than average,c.Yes,1-3 times per week,"New York Times website,Huffington Post,Washington Post website,CNN.com,FoxNews.com,The Drudge Report,Google News,ABC News website,The Associated Press (AP) website,Reuters website,National Public Radio (NPR) website,USA Today website,New York Post Online",In favor,Strongly in favor,Neither in favor nor against,Neither in favor nor against,In favor,Somewhat against,2,6,2,3,1 - Vague understanding,3,,,,,,,,,,,,,,,,,,,,,,,,,Fusce elit consectetuer eget suspendisse tempor mattis sapien sapien turpis.,5,Strongly against,Ultricies mattis facilisi. Rutrum sagittis dolor mauris elementum per convallis. Diam interdum tellus? Felis.,1 - Vague understanding,Strongly in favor,,,,,,,Somewhat Liberal,Somewhat Liberal,Somewhat Liberal,Very Conservative,Conservative,Neither Liberal Nor Conservative,Conservative,1047627191,Et sem magnis volutpat metus? Tortor natoque felis nulla aliquet convallis natoque mauris.,,1
2024-08-14 06:29:52,2024-08-14 06:29:52,Survey Test,,100,0,True,2024-08-14 06:29:52,R_0olWx7TGnI9LDmu,,,,,,,test,,Male,Consequat tempus. Vitae sodales diam metus pede commodo accusamus! Eleifend! Tempus luctus.,e.Doctoral degree,e.Other (Please Specify),Iaculis donec integer in turpis purus malesuada nec risus. Dui. A rutrum ridiculus. Erat sed.,Far more than average,c.Yes,More than 3 times per week,"New York Times website,Huffington Post,Washington Post website,CNN.com,FoxNews.com,MSNBC.com,The Drudge Report,Google News,CBS News website,NBC News website,Yahoo! News,Reuters website,National Public Radio (NPR) website,USA Today website,New York Post Online,None of these websites",Neither in favor nor against,In favor,Strongly in favor,Strongly against,In favor,Somewhat against,7 - Thorough understanding,2,3,4,2,1 - Vague understanding,,,,,,,"Vivamus sollicitudin cursus! Quam augue sagittis, neque egestas. Tempor dolorem.",3,Somewhat in favor,"Nonummy? Risus? Massa. Nullam vulputate ullamcorper fusce. Nulla diam, atque. Interdum euismod? Nullam velit gravida.",Vague understanding,In favor,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat Liberal,Neither Liberal Nor Conservative,Neither Liberal Nor Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Liberal,1412923344,"Ligula pede. Vivamus eget ipsum tortor sit? Molestie ante scelerisque, fermentum.",,0
2024-08-14 06:29:52,2024-08-14 06:29:53,Survey Test,,100,1,True,2024-08-14 06:29:53,R_aV6bUsnOVrJo0iq,,,,,,,test,,Female,Facilisis curabitur. At malesuada augue ultricies scelerisque ipsum dapibus aliquet blandit. Pharetra ullamcorper. Facilisi.,e.Doctoral degree,e.Other (Please Specify),"Ante luctus velit viverra nunc curabitur, malesuada urna suspendisse wisi. Faucibus tellus consectetuer suscipit.",Somewhat more than average,c.Yes,Less than once per week,"Huffington Post,Washington Post website,CNN.com,FoxNews.com,MSNBC.com,Google News,ABC News website,CBS News website,NBC News website,Yahoo! News,The Associated Press (AP) website,Reuters website,National Public Radio (NPR) website,New York Post Online,None of these websites",Strongly against,In favor,Somewhat against,Strongly against,Neither in favor nor against,Strongly in favor,5,7 - Thorough understanding,3,1 - Vague understanding,4,5,,,,,,,,,,,,,Duis praesent pharetra posuere imperdiet posuere! Facilisis! Donec etiam nullam.,2,In favor,Ac aenean nibh tempus curabitur sapien pellentesque felis vivamus ridiculus leo eleifend proin magnis fermentum.,1 - Vague understanding,In favor,,,,,,,,,,,,,,,,,,,Somewhat Conservative,Somewhat Conservative,Conservative,Very Conservative,Very Liberal,Somewhat Liberal,Neither Liberal Nor Conservative,537286258,Nulla mauris. Metus! Sed pretium et eleifend pretium magna ab blandit ut sit facilisi enim.,,0
2024-08-14 06:29:53,2024-08-14 06:29:54,Survey Test,,100,1,True,2024-08-14 06:29:54,R_8qaRABuJGvpvdHg,,,,,,,test,,Female,Vel mi potenti. Auctor dolor sit molestie interdum neque. Consequat montes.,"b.High school graduate, or equivalent",e.Other (Please Specify),"Curabitur aliquet sagittis per metus. Fermentum ab ultricies sagittis, leo.",Far less than average,"a.No, but I was eligible to vote",1-3 times per week,"The Drudge Report,NBC News website,New York Post Online",Neither in favor nor against,Neither in favor nor against,In favor,Against,Strongly in favor,Somewhat against,1 - Vague understanding,1 - Vague understanding,3,4,2,6,,,,,,,,,,,,,,,,,,,Tempor potenti nibh sapien sed aenean volutpat justo vehicula fermentum.,4,Neither in favor nor against,"Velit. Interdum purus. Urna nullam sem tincidunt pellentesque! Metus est, egestas.",1 - Vague understanding,Somewhat against,,,,,,,,,,,,,Very Liberal,Liberal,Very Conservative,Neither Liberal Nor Conservative,Liberal,Liberal,Somewhat Conservative,1573702970,"Nibh? Molestie luctus lectus vulputate. Elit sollicitudin ligula duis massa, sollicitudin.",,1
